Full Text Tweet;Datum und Uhrzeit
Ein erster anregender Austausch mit dem ukrainischen Präsidenten Volodymyr Zelensky vor meinem Besuch in diesem Jahr. #Davos2020 #wef20 https://t.co/jnXuUDNi6j;22-Jan-2020 (17:05:55.000000)
His Royal Highness Prince Charles is extremely committed to species protection and climate protection, as is Switzerland. #Davos2020 @ClarenceHouse https://t.co/5S95q2Nz0Z;22-Jan-2020 (16:37:17.000000)
Der US-Präsident @realdonaldtrump lobte das Engagement der Schweiz: «We trust you a 100 %» https://t.co/SmLXMU8rIy;21-Jan-2020 (18:05:10.000000)
When the world is on fire, we cannot leave the work to firemen alone. Politicians and society have to take action. So, let’s make use of our time here together to engage in dialogue and to seek a balance that benefits all of us. https://t.co/8zeGtXVE7d #Davos2020 #WEF20 https://t.co/ShbnQkJ4NE;21-Jan-2020 (13:53:27.000000)
To bee or not to be 🐝 Die Botschaft der Bienen ist klar: Wenn wirtschaftliche Interessen über die Bedürfnisse der Natur gestellt werden, sind die Folgen für uns Menschen, aber auch für die Wirtschaft, dramatisch. https://t.co/4GZ1pP75jr #WEF20 #WEF2020 https://t.co/GTFuCMoFLr;21-Jan-2020 (10:59:02.000000)
Ein gutes Klima beim ersten Treffen mit @vonderleyen zu gemeinsamen Themen  - und ein Austausch über die beiderseitige Sorge über den #Klimawandel.//https://t.co/DygDnVDuky;20-Jan-2020 (19:04:53.000000)
Arbeiten auf dem Weg nach #Davos. //#WEF20 https://t.co/FDuuQeUnme;20-Jan-2020 (11:03:32.000000)
In einer Woche sind es 75 Jahre, seit das KZ Auschwitz befreit wurde. Es war mir darum ein Anliegen, Überlebende des Holocaust persönlich zu treffen. Ich bin tief berührt von dieser Begegnung. #Holocaust #Auschwitz https://t.co/s0orlVCizf https://t.co/jsEKPYuhom;19-Jan-2020 (15:05:41.000000)
Heute diskutiere ich mit Jugendlichen in der Arena über Klima, Altersvorsorge und Gleichstellung. Ich freue mich auf eine erfrischende Sendung – und ihre Fragen!//#srfarena #younews2020//https://t.co/kmMqHnakW6;17-Jan-2020 (08:39:37.000000)
Mit dem Ausbau der Wasserkraft haben wir etwas gewagt und viel gewonnen. Nun tun sich mit der Erneuerung der Energiewelt neue Chancen auf. Packen wir sie! Meine Rede vom #Stromkongress: //https://t.co/kad48xxz83 #stk2020 #Energiewende https://t.co/ghHmBcge4P;16-Jan-2020 (16:06:52.000000)
Grossartige Leistung von Daniel Yule! Gratuliere herzlich. Auch abseits der Piste hat er mich beeindruckt – mit seiner Forderung nach mehr Klimaschutz. Nachzulesen in der Ausgabe 2020 von «Der Bund kurz erklärt» ab dem 17. Februar.  #Adelboden #DanielYule https://t.co/2L1YDWxzLf;13-Jan-2020 (14:08:22.000000)
La Suisse le prouve – les jeux peuvent être beaux, durables et à taille humaine. #Lausanne2020  #YouthOlympics #YouthOlympics https://t.co/0qD0SrIkfc https://t.co/FKxtaOtDBE;10-Jan-2020 (16:32:44.000000)
Je suis fière des jeux #Lausanne2020 qui privilégient les transports publics, qui utilisent des infrastructures existantes et qui évitent le gigantisme. Les géants, ce sont les athlètes ! https://t.co/gAc36jsFOd #StartNow https://t.co/uNbKgUulra;09-Jan-2020 (20:43:43.000000)
Kultur ist ein wichtiger Wert. Sie kann erfreuen, provozieren. Kultur bewegt. Wie die Politik. Den Wert der Kultur zeige ich 2020 als Bundespräsidentin, mit der Musikserie: 12 Stücke für 12 Monate. Beginnend mit der Bieler Band Puts Marie: https://t.co/Wc42k5Z0f8 https://t.co/7xhX9ZQ5DR;06-Jan-2020 (11:27:12.000000)
La cultura è un valore importante. Può essere gioia o provocazione, ma non lascia mai indifferenti. Come la politica. Nel 2020, in qualità di Presidente, voglio illustrare tale valore con 12 brani per 12 mesi. Iniziamo con i «Puts Marie» di Bienne: https://t.co/KVD367qVts https://t.co/U3GaAD8Jnf;06-Jan-2020 (11:26:32.000000)
La culture est une valeur importante qui peut ravir et provoquer. La culture ça remue, comme la politique. En 2020, je souhaite illustrer cela en musique : 12 morceaux pour 12 mois. Pour commencer, le groupe biennois Puts Marie: https://t.co/lkvjg3Qomx https://t.co/UYKPT8JIOQ;06-Jan-2020 (11:25:25.000000)
In meinem Präsidialjahr treffe ich Menschen mit unterschiedlichen Wünschen, Erwartungen, Hoffnungen. Hier räume ich Persönlichkeiten Platz ein, die sonst nicht so im Fokus sind.//52 Wochen, 52 Begegnungen//52 semaines, 52 rencontres//52 settimane, 52 incontri//https://t.co/1OTTn6o2JM https://t.co/3J8TxcfLU1;01-Jan-2020 (13:05:49.000000)
Più veloce, più alto, più forte… Ormai non ci accontentiamo più del «buono». Ma non dimentichiamo la cosa più importante: il benessere di tutti. E questo è possibile solo con l’impegno comune. Spero perciò che insieme ci adopereremo per un «buon» 2020.////https://t.co/dmj5DHKMXy;01-Jan-2020 (11:27:58.000000)
Plus vite, plus haut, plus fort… Pour beaucoup de monde, il ne suffit plus d’être bon. Mais il ne faut pas oublier l'essentiel: le bien-être pour tous! Nous devons nous montrer solidaires. J'espère qu'ensemble, nous ferons de 2020 une bonne année.////https://t.co/MokLejtXb2;01-Jan-2020 (11:26:55.000000)
Höher, schneller, weiter… Gut genügt für viele heute nicht mehr. Dabei darf das Wichtigste nicht vergessen werden: Es muss allen gut gehen. Das erreichen wir nur zusammen. Ich wünsche mir, dass wir miteinander für ein gutes 2020 sorgen.////https://t.co/6DteQPONYE;01-Jan-2020 (11:25:27.000000)
Un anno buono è come il pane buono: sano e croccante. Un’anteprima dell’allocuzione di Capodanno 🙂 https://t.co/ClRvIXqWZh;01-Jan-2020 (09:47:22.000000)
Une bonne année c’est comme un bon pain, sain et croustillant. Un avant-goût de l’allocution de Nouvel An 🙂 https://t.co/kB0Oobucat;01-Jan-2020 (09:44:01.000000)
