Full Text Tweet;Datum und Uhrzeit
This Mother’s Day, everyone should stop #coronavirus spreading.////Keep your mum safe. Stay at home.////#StayHomeSaveLives #MothersDay https://t.co/6OQ7cGm57w;22-Mar-2020 (12:41:17.000000)
Thank you @AthertonNWales! https://t.co/On4qnTHaOq;22-Mar-2020 (11:00:33.000000)
Thank you @MariaCaulfield! https://t.co/Fx1U7KiVub;21-Mar-2020 (20:47:34.000000)
Our amazing NHS staff want to be there to help you and your loved ones over the coming weeks and months.////You can help them right now by staying inside. #StayHomeSaveLives https://t.co/qhfdh51HDk;21-Mar-2020 (18:57:02.000000)
Josephine sets a great example to us all by postponing her birthday party until we have sent coronavirus packing.////Together we can beat this. In the meantime let's all wish her happy birthday (twice) whilst washing our hands. #BeLikeJosephine #StayHomeSaveLives https://t.co/xmDOw60hhV https://t.co/yl7uxe9lhh;21-Mar-2020 (12:58:23.000000)
The coming months will be challenging, but I want to assure businesses that we are with them every step of the way.////Stand by your employees, stand by your workers, because we will stand by you. https://t.co/IqTDLOmBve;21-Mar-2020 (11:54:35.000000)
We want to protect you. But to do so, we need you to do your bit. #StayHomeSaveLives https://t.co/oSAzFF5AWk;21-Mar-2020 (08:30:52.000000)
To those going against the advice we're getting from our experts, you're not only putting your own life and the lives of your family at risk, you're endangering the community and you're making it more difficult for us to protect the NHS and save lives. #StayHomeSaveLives https://t.co/WLw17OboHR;20-Mar-2020 (21:15:00.000000)
The more we follow the advice, the faster the country will stage both a medical and an economic recovery in full. #StayHomeSaveLives https://t.co/ik06dvasiH;20-Mar-2020 (19:45:18.000000)
We are supporting businesses and workers in a way that government has never done before. ////If people stay home, then we will not only save thousands of lives, but we will come out of this pandemic all the faster. #StayHomeSaveLives https://t.co/dhraP6OSfR;20-Mar-2020 (18:46:24.000000)
We are telling cafes, pubs, bars and restaurants to close tonight as soon as they reasonably can, and not to open tomorrow.////As far as possible we want you to stay at home.////That’s how we can protect our NHS and save lives.////➡ https://t.co/kdHUGOW5he https://t.co/8Hko4bfBnh;20-Mar-2020 (17:43:30.000000)
NHS staff are doing extraordinary work across the country to help our fight against coronavirus.////We now need to play our part in supporting them by following the government's guidance and working from home if you possibly can. https://t.co/90H9Qnw93l;20-Mar-2020 (13:20:22.000000)
We can beat this together, but only if we follow government advice and look out for each other. https://t.co/mavBWIHylf;20-Mar-2020 (08:00:00.000000)
Please be reasonable in your shopping, be considerate and thoughtful of others as you do it. https://t.co/Dwo7lTIkg7;19-Mar-2020 (20:05:47.000000)
Her Majesty The Queen speaks for us all. We all have a vital role to play. We will do whatever it takes to beat this together. https://t.co/k7VFionucj;19-Mar-2020 (19:19:42.000000)
I say to business, stand by your employees, stand by your workers, because we will stand by you.////I have absolutely no doubt that we will turn the tide of this disease and beat it together.////5/5;19-Mar-2020 (18:32:48.000000)
And it’s by this combination of ruthless, determined, collective action, and scientific progress, that we’re already seeing that we will succeed.////If we do this together, we will save many many thousands of lives.////4/5;19-Mar-2020 (18:32:48.000000)
It is absolutely vital that we follow the advice:////Stay at home if you have the symptoms, or if your family has the symptoms.////Avoid unnecessary contact.////Avoid pubs, bars and restaurants.////Work from home, if you possibly can.////And wash your hands.////3/5;19-Mar-2020 (18:32:47.000000)
We’re getting better at testing.////This crisis is so difficult because the enemy is invisible.////The answer is to remove the cloak of invisibility to identify the virus, and to be able to know which of us is carrying it and who has actually had it and got over it.////2/5;19-Mar-2020 (18:32:47.000000)
We can send #coronavirus packing in this country, but only if we take the required steps to reduce the peak.////Once we’ve achieved that, then the scientific progress that we are making will really come into play.////1/5;19-Mar-2020 (18:32:46.000000)
I want to say a huge thank you on behalf of the whole country to everyone working in our NHS, of every specialism and role, in our fight against the coronavirus pandemic. We’ve never needed you more than we do today.;19-Mar-2020 (16:44:29.000000)
We're going to step up testing for #coronavirus #COVID19 https://t.co/A7cNeBOd1J;19-Mar-2020 (07:46:24.000000)
The government has announced that schools will close from Monday https://t.co/C5RaaQPGnQ https://t.co/q3I54vQf1V;18-Mar-2020 (20:33:35.000000)
After schools shut their gates from Friday afternoon, they will remain closed for most pupils - for the vast majority of pupils - until further notice.// //Read more here: https://t.co/C5RaaQPGnQ https://t.co/5jMgPXxDML;18-Mar-2020 (20:06:53.000000)
WATCH: a message from @CMO_England on #coronavirus 👇////🏠If anyone in your household has coronavirus symptoms, you must all stay at home////❌ Do not visit your GP or local hospital////✅ Visit https://t.co/hmhS6y5caq to check symptoms and follow the advice https://t.co/v1zVKCKz8X;18-Mar-2020 (19:13:31.000000)
We have the resolve and the resources to win the fight against #Coronavirus https://t.co/g1SnxlMEzV;18-Mar-2020 (16:00:44.000000)
However tough the months ahead we have the resolve and the resources to win the fight.////And, to repeat, this government will do whatever it takes.////https://t.co/lg7axA86UB #COVID2019 https://t.co/Kfu8tFvCrM;18-Mar-2020 (07:33:09.000000)
I want to say a huge thank you on behalf of the whole country to everyone working in our NHS, for all your hard work at this difficult time. https://t.co/7hpUFMsfLw;17-Mar-2020 (21:31:41.000000)
“We will do whatever it takes.” – @RishiSunak #coronavirus https://t.co/rmCLPWvuWr;17-Mar-2020 (21:19:42.000000)
Use these trusted sources of information for the latest advice and guidance on #coronavirus////🩺 Check your symptoms: https://t.co/uL9bBXzV0F//🏥 Health guidance: https://t.co/47UIka9nis//ℹ All information on coronavirus: https://t.co/kdHUGOW5he https://t.co/vwKPJV2CII;17-Mar-2020 (16:45:05.000000)
Today the government has updated its travel guidance with immediate effect. ////We are now advising against all non-essential overseas travel.//https://t.co/Zdm45PKyuU;17-Mar-2020 (14:51:46.000000)
.@CMO_England Chris Whitty outlines how updated //#coronavirus advice will impact: ////▶️ People aged 70+//▶️ Adults who would normally be advised to have the flu vaccination//▶️ People with chronic diseases//▶️ Pregnant women////https://t.co/meymkGzBj3 https://t.co/DipjADBvOw;17-Mar-2020 (07:14:30.000000)
An update on the latest coronavirus advice. https://t.co/meymkGzBj3 https://t.co/qPAYFEpdCK;16-Mar-2020 (22:14:18.000000)
Latest NHS advice:////If you have: a new continuous cough OR a high temperature////You should stay at home for seven days.////Read the full guidance now: https://t.co/hmhS6y5caq https://t.co/v8oNM0UU2I;15-Mar-2020 (10:08:22.000000)
If you have: a new continuous cough OR a high temperature (37.8 degrees or higher), you should stay at home for 7 days.// //Read more here on how best to protect yourself and others whilst staying at home: https://t.co/P5Ch222CYT https://t.co/LsLU9wWqBL;14-Mar-2020 (12:00:12.000000)
If you have symptoms of coronavirus, it’s important that you stay at home for seven days to help protect your friends and neighbours.////More info: https://t.co/47UIka9nis https://t.co/lJyAoDgmcv;13-Mar-2020 (18:07:55.000000)
This country will get through this epidemic, just as it has got through many tougher experiences before. https://t.co/3KfFGyRWzA;13-Mar-2020 (07:24:21.000000)
The UK’s Chief Medical Officer on the government’s updated advice on #COVID19 ////If you have: a new continuous cough OR a high temperature (37.8 degrees or higher), you should stay at home for seven days.////Read the full guidance now: https://t.co/hmhS6y5caq https://t.co/BbSg7CbEmY;12-Mar-2020 (21:15:39.000000)
It is with deep sadness that I learned that a UK soldier was killed in the attack at the Taji military base last night. My thoughts go out to their loved ones at this extremely difficult time.;12-Mar-2020 (09:59:31.000000)
If you are unwell and think you might have coronavirus, stay at home and either call 111 or use the online service: https://t.co/xDm8Sg8LnS;11-Mar-2020 (15:25:20.000000)
Dr Jenny Harries, Deputy Chief Medical Officer, came into Downing Street to answer some of the most commonly asked questions on coronavirus. https://t.co/jByRhFFfat;11-Mar-2020 (15:23:07.000000)
It is absolutely critical in managing the spread of this virus that we take the right decisions at the right time, based on the latest and best evidence. https://t.co/8BbEeJ4dTb;09-Mar-2020 (18:50:03.000000)
Today I visited Worcestershire to see the recovery efforts and pay tribute to the emergency services following flooding. https://t.co/pF4iQXBSmP;08-Mar-2020 (16:15:40.000000)
Fantastic afternoon at Twickenham watching the rugby and congratulating the Red Roses on their recent victory. ////Congratulations @EnglandRugby and well played @WelshRugbyUnion! https://t.co/0wilNJXqJD;07-Mar-2020 (18:52:58.000000)
Today, two years on from the chemical attack in Salisbury, my thoughts remain with all those impacted. It is heartening to see the historic city welcoming visitors and looking to the future, thanks to the strength and character of the community.;04-Mar-2020 (08:29:02.000000)
An update on coronavirus following COBR. https://t.co/k34Q4XL4MF;02-Mar-2020 (14:46:25.000000)
Coronavirus may very well be a challenge in the weeks and months ahead.////But I have no doubt that with the help of the NHS and its ­incomparable staff, this country will get through it — and beat it.////https://t.co/r7LvqR9MuH;01-Mar-2020 (11:44:23.000000)
