Full Text Tweet;Datum und Uhrzeit
"Viele Menschen können sich nicht vorstellen, wie wichtig der Beitrag von jedem Einzelnen ist. Jetzt ist die Ruhe vor dem Sturm. Wie grausam der Sturm sein kann, sieht man in Italien. Normalität wird es nur geben, wenn wir das Virus besiegt haben &amp; da sind alle gefordert!";30-Mar-2020 (10:20:38.000000)
"Es ist mir bewusst, dass viele hören möchten, dass die Maßnahmen bald enden. Die Wahrheit ist: Es ist ein Marathon &amp; es ist unsere Aufgabe, ehrlich zu sein. Wir müssen die Ausbreitung deutlich stärker verlangsamen, denn sie muss mittelfristig gegen null verlaufen.";30-Mar-2020 (10:20:38.000000)
"I wish you a full &amp; swift recovery, dear @BorisJohnson. We will continue to do our best to contain the spread of #COVID19 together. #StrongerTogether https://t.co/mQvl9G0WUW";27-Mar-2020 (14:42:03.000000)
We must also do our utmost to help our economies and stabilise markets. The ESM is the right instrument for this in addition to the ongoing measures by the #ECB. The #WesternBalkans should be included in our joint efforts to procure medical equipment.;26-Mar-2020 (21:00:53.000000)
Just finished videoconference of the #EuropeanCouncil today. It is crucial that we show determination by adopting strict measures and cooperate closely within the #EU to contain the spread of #COVID-19.;26-Mar-2020 (21:00:53.000000)
"Danke allen Österreicherinnen &amp; Österreichern, dass sie die Maßnahmen mittragen &amp; einen Beitrag leisten, damit wir Leben retten können. Je stärker wir uns jetzt an die Maßnahmen halten, desto früher werden wir diese schwierige Situation überstanden haben. #COVID19";26-Mar-2020 (14:47:24.000000)
Ich bin sehr froh, dass Supermärkte angekündigt haben, ihren Mitarbeitern einen speziellen Bonus zu bezahlen. Dieser wird steuerfrei gestellt, damit er in voller Höhe bei den Mitarbeitern ankommt. Dies gilt auch für alle anderen Berufsgruppen, die so einen Bonus erhalten.;26-Mar-2020 (14:47:15.000000)
Ich bin allen Menschen dankbar, die in dieser schwierigen Zeit arbeiten gehen. Danke ganz besonders an all jene, die in Bereichen arbeiten, die vielleicht von manchen unterschätzt werden, die aber besonders wichtig für die Versorgungssicherheit in unserem Land sind. #COVID19;26-Mar-2020 (14:47:03.000000)
Wir sind auch mit den Banken in Kontakt, um Kreditstundungen für Privatbetroffene zu ermöglichen, die aufgrund der Situation nicht in der Lage sind, ihre Kreditraten zu bezahlen. Hier braucht es Kreditstundungen, damit niemand aufgrund der Corona-Krise vor dem nichts steht.;26-Mar-2020 (14:46:46.000000)
Die Krise löst massive wirtschaftliche Herausforderungen aus. Wir haben ein 38-Mrd.-Euro-Hilfspaket angekündigt. Was zählt, ist nicht, was angekündigt wird, sondern was bei den Betroffenen ankommt. Ich bin sehr froh, dass wir nun an dem Punkt sind, an dem ausgezahlt werden kann.;26-Mar-2020 (14:46:05.000000)
"Ich habe versprochen, transparent mit der Situation umzugehen &amp; betone: Die Lage ist &amp; bleibt ernst. Die Zahlen sprechen eine eindeutige Sprache. Es wird dauern, bis die Maßnahmen greifen. Bitte halten Sie sich an die Vorgaben &amp; glauben Sie Beschwichtigungsversuchen nicht!";26-Mar-2020 (14:45:40.000000)
Many thanks for the interview on the fight against #COVID-19 and our close cooperation with #Israel and @netanyahu  in this regard. @antonia_yamin https://t.co/3Dcq1sVK68;25-Mar-2020 (20:42:50.000000)
"Es ist ein starkes Zeichen der Lebensmittelketten, Mitarbeiterinnen &amp; Mitarbeiter, die täglich die Versorgung in #Österreich sicherstellen, mit Bonuszahlungen zu belohnen. Für uns ist daher klar, dass dieser Bonus komplett steuerfrei gestellt werden muss. https://t.co/miTEZcHbs9";25-Mar-2020 (13:21:36.000000)
"This marks an important milestone on their EU path. Enhancing the cooperation between the EU &amp; our Western Balkans friends is crucial to tackle global challenges, such as the #Covid-19 outbreak or the #migration crisis.";24-Mar-2020 (16:52:15.000000)
